Tanggal;Kemayoran_Tn;Kemayoran_Tx;Kemayoran_Tavg;Kemayoran_RH_avg;Kemayoran_RR;Kemayoran_ss;Kemayoran_ff_x;Kemayoran_ddd_x;Kemayoran_ff_avg;Kemayoran_ddd_car;TJP_Tn;TJP_Tx;TJP_Tavg;TJP_RH_avg;TJP_RR;TJP_ss;TJP_ff_x;TJP_ddd_x;TJP_ff_avg;TJP_ddd_car;Bogor_Tn;Bogor_Tx;Bogor_Tavg;Bogor_RH_avg;Bogor_RR;Bogor_ss;Bogor_ff_x;Bogor_ddd_x;Bogor_ff_avg;Bogor_ddd_car;status_banjir
07-02-2021;25.8;30.2;27.8;82;67.8;7.6;8;350;3;C ;25;30.4;28.4;81;20;8.3;7;330;4;NW;;27.5;24;95;25.9;4.7;4;315;2;C ;0
08-02-2021;25;30.2;28;83;9;4.4;8;330;2;C ;26;30.8;28.5;83;11.9;4.3;6;300;2;NW;;;25.5;91;67.7;;3;40;0;C ;0
09-02-2021;24.2;30.2;27.2;87;16.5;3.5;4;270;1;C ;24.4;30.5;27.4;86;14.8;4.8;6;310;3;NW;;29.7;25.2;90;14.4;1.5;4;350;0;C ;0
10-02-2021;25.4;30.8;28.1;80;1.4;5.8;7;200;2;C ;25.4;30.5;27.5;86;2;4.3;7;300;3;W ;22.6;27.8;24.9;91;0;;4;270;1;C ;0
11-02-2021;25.8;32;27.6;81;8888;2.8;5;290;2;C ;25.8;31;27.5;84;0.1;1.3;7;280;2;W ;22.4;;25.5;86;10.5;0.2;3;40;1;C ;0
12-02-2021;25.4;29.6;27.4;82;4.2;4;5;330;2;NW;26;29.8;28;80;;6.4;6;330;3;NW;21.1;30.6;24.4;92;0.5;5;4;350;1;C ;0
13-02-2021;25.2;31;27.9;79;0.8;3;6;340;2;C ;25.2;30.2;27.6;85;13.9;4.2;6;320;3;NW;21.9;29.5;25.5;88;9.4;4.2;4;330;1;C ;0
14-02-2021;26;29.2;27.3;88;22.3;4.2;3;270;1;C ;25.8;28.3;27.8;87;8888;4;3;340;2;N ;23.3;29.4;26.1;90;0.1;4.4;5;360;1;C ;0
15-02-2021;25.2;30.6;27.4;86;11.8;1.2;7;340;2;C ;25.3;30.5;27.5;88;36.1;0;5;290;2;NW;22.8;30.5;25.8;91;24.8;0;4;360;1;C ;0
16-02-2021;24.2;28.2;25.5;95;59;4.1;3;330;1;C ;24.6;27.2;26;93;78;4.6;5;350;1;C ;21.8;;25.3;91;28.6;5.5;3;320;1;C ;0
17-02-2021;23.8;29;26;85;72.8;0;5;340;1;C ;24;28;26.1;86;39.2;0;4;240;3;NW;22;28.6;25.6;88;0.5;3.2;4;330;1;C ;0
18-02-2021;24.4;30;25.8;86;0;0;5;310;2;C ;24.8;30;26.3;86;;0;6;350;3;NW;22.8;30.8;25.3;89;8888;0;6;315;1;C ;0
19-02-2021;24.5;29.4;26.6;82;94.1;2;7;340;2;C ;24.6;29.5;27.1;81;52.8;3.4;5;250;4;W ;22.2;26.4;23.9;93;95.9;2;3;320;1;C ;1
20-02-2021;;30;27.9;78;27;2.6;7;320;3;NW;25.8;30;28.1;81;6.3;0.5;7;330;3;NW;22.2;29;25.1;90;25.2;0;5;350;1;C ;1
21-02-2021;24.8;30.2;27.2;82;16.4;3.5;9;330;2;C ;25.5;30.4;27.4;84;5.1;1.9;5;310;2;NW;;29.4;26.4;84;36.4;1;4;330;1;C ;1
22-02-2021;25.4;30.4;27.9;78;0;8.4;6;300;2;NW;25.6;30.8;28.1;80;8888;8.6;6;300;3;NW;22;30.4;25.7;88;;4;4;320;1;C ;1
23-02-2021;26.4;31;27.9;80;0;5.5;10;340;3;C ;26.6;31.2;28.2;81;;5.8;6;280;3;W ;21.9;31.5;25.9;84;1.6;5.4;4;90;1;C ;1
24-02-2021;24;32.4;27.3;77;0.3;5.4;8;300;2;C ;26;31.4;28.5;77;1;3.1;9;270;4;W ;22.6;29.7;25.6;84;2;6.2;5;310;1;C ;1
25-02-2021;24.6;30;27.3;85;11.8;3.2;10;320;3;NW;24.6;29.9;26.9;87;3.3;0;8;310;3;NW;;30;25.7;88;27.1;1.2;5;350;2;C ;1
26-02-2021;24;29.6;26.8;86;13.9;3.4;3;310;1;C ;23.5;29.6;26.9;87;30;0.6;5;330;2;N ;;30.8;25.9;86;21.7;1.8;4;340;2;C ;0
27-02-2021;25;31.6;28.1;82;3.9;1.2;5;320;1;C ;25.1;31.2;28.1;85;15;0;5;360;2;NE;22.9;31.6;26.7;85;8888;6.3;5;320;1;C ;0
28-02-2021;26;34;29.5;70;;5;6;270;2;W ;26;32.3;29.3;74;0;4.8;5;210;2;W ;24;33.4;27.3;80;;4.6;5;180;1;C ;0
01-03-2021;26.2;33.4;29.3;72;0.2;3.5;8;330;3;C ;26.7;32.2;29;76;0.3;2.7;5;260;3;N ;23;33;26.2;80;8888;8.6;3;350;1;C ;0
02-03-2021;24.8;30.8;27.3;82;20.4;5.8;3;310;1;C ;24.2;31;26.8;89;46.7;6.6;3;320;1;C ;;;;;;;;;;;0
03-03-2021;24.6;31.4;27.7;82;35.2;4.5;7;260;1;C ;;30.8;27.4;84;33.8;4.6;4;280;2;W ;;;;;3;0.8;0;0;0;C ;0
04-03-2021;25;31.6;28.3;78;1.3;5.9;4;310;1;C ;25;31.1;28.5;81;;7;4;310;2;NW;22.9;32.2;;;18.6;4.3;3;70;2;NW;0
05-03-2021;25.4;31.6;27.4;82;3.2;3;10;320;2;C ;26.3;32;28.1;81;3.3;2.7;6;20;2;C ;;;;;12.1;1.6;4;360;1;C ;0
06-03-2021;25.8;30.4;26.8;86;0.6;4.2;3;300;1;C ;26.4;30.5;27.3;86;0.5;5.5;5;310;2;C ;21.3;31.5;25.1;87;6;5.5;4;50;1;C ;0
07-03-2021;24.2;30.6;27.1;85;67.2;5;8;330;2;C ;25;30.8;27.7;83;5;3.3;4;330;1;C ;;31.9;25.3;87;0.1;5;5;200;1;C ;0
29-12-2019;25;30.2;27.5;84;10.2;2.7;4;130;1;C ;26;29.1;27.2;86;13.2;5.3;5;300;1;C ;23;30;26.1;84;8888;0;3;300;1;S ;0
30-12-2019;25;32.6;28.9;75;0.8;1;6;260;2;C ;26;32.2;29;79;1.2;0;5;340;2;C ;23;32.6;27;84;;4.2;6;270;1;C ;0
31-12-2019;26;31.2;27.6;83;0;9;5;300;2;NW;27;31;27.6;84;0;9.6;12;350;4;N ;24;30.4;25.7;92;20.6;6.2;5;180;2;C ;1
01-01-2020;25;28.8;26.8;90;145.3;4.5;3;290;1;C ;25;29.5;27.4;88;146.1;3.1;7;320;3;W ;22.5;26.5;24.6;95;44.4;3.2;4;90;1;C ;1
02-01-2020;25;30.8;27.6;80;58.8;0;4;250;2;C ;25.6;31.3;27.9;83;13.5;0;5;320;2;W ;23;29.8;25.7;92;34.4;0;4;270;1;C ;1
03-01-2020;25.4;31;28.5;77;;3;5;290;2;C ;25.8;30.8;28.6;79;0;7.3;6;350;3;NW;23.3;30.2;26.1;88;0.3;1.2;3;330;1;W ;1
04-01-2020;25.6;31.2;28.3;82;2.5;0;6;330;2;C ;26.8;30.8;28.2;85;6.4;0.8;6;300;3;NW;;28.6;25.8;92;0.3;3.7;3;330;1;C ;1
05-01-2020;26.8;29.6;27.9;85;0.2;0.4;5;320;1;C ;;30.2;27.8;86;1.1;0.8;9;290;3;W ;23.2;28.2;25.2;92;3.3;0;5;300;2;C ;1
06-01-2020;25;30;27;87;18.2;0;5;23;1;C ;25;30.5;27.2;87;54;0;7;310;3;W ;23.3;28.4;24.9;94;6.2;0;3;180;1;C ;1
